Model	Score_F1	Score_MCC	Score_ROC
svm_rbf_0	0.9910552508615319	0.9899445326033549	0.9993381328712815
svm_rbf_1	0.9910358545731827	0.989908932500425	0.9996354695640546
svm_rbf_2	0.9970085294143061	0.996635621082091	0.9999233877185143
svm_rbf_3	0.9940211103217295	0.9932919971068312	0.9998163618117243
svm_rbf_4	0.9940287492242406	0.9932628209423306	0.9997891822883591
svm_rbf_5	0.9940188378018598	0.993261899933437	0.9996532062690615
svm_rbf_6	0.9940188378018598	0.993261899933437	0.9998220590579681
svm_rbf_7	0.9820479523496157	0.9799181628128709	0.9973034040741826
svm_rbf_8	0.9940188378018598	0.993261899933437	0.9998919369379964
svm_rbf_9	0.9940188378018598	0.993261899933437	0.9998632530230687
